the_geom,Latitude,Longitude,Location,Name,Quantity,Type
POINT (-87.707346 41.933594),41.933594,-87.707346,2853 North Kedzie Avenue,"Jam Restaurant, 2853 N Kedzie Ave",1,Type B
POINT (-87.81867427 42.0044195),42.0044195,-87.81867427,6783 N. Northwest Highway,Happy Foods,2,Type B
POINT (-87.69674200000001 41.91412799999999),41.914128,-87.696742,1807 North California Avenue,1807 North California Avenue,2,Type B
POINT (-87.588879 41.767934999999994),41.767935,-87.588879,1456 East 70th Street,Dorchester Arts + Housing Collaborative,2,Type B
POINT (-87.660138 41.844413),41.844413,-87.660138,2701 South Eleanor Street,"2701 S Elanor Street, Chicago",2,Type B
POINT (-87.655422 41.896483),41.896483,-87.655422,801 North Milwaukee Avenue,Spine Arc Advanced Rehabilitation Center,1,Type B
POINT (-87.66251200000002 41.83920500000001),41.839205,-87.662512,3043 South Archer Avenue,Hong Kong Spa,1,Type B
POINT (-87.64206400000002 41.879895000000005),41.879895,-87.642064,125 South Jefferson Street,"Jefferson, halfway between Monroe and Adams",1,Type B
POINT (-87.67437899999999 41.955284),41.955284,-87.674379,1801-1809 West Belle Plaine Avenue,Begyle Brewing Company Bike Corral,1,Corral
POINT (-87.712772 41.93907099999999),41.939071,-87.712772,3405 West Belmont Avenue,MicDuck's/ Belmont Blue Line,2,Type B
POINT (-87.66215399999999 41.910703),41.910703,-87.662154,1558 N. Elston Ave,"Stanley's, 1558 N. Elston Ave",2,Type B
POINT (-87.685425 41.84930299999999),41.849303,-87.685425,2325 S Western Ave,"Donald's Famous Hot Dogs, 2325 S Western Ave",1,Type B
POINT (-87.666899 41.917275000000004),41.917275,-87.666899,1935 N. Elston,"1935 N. Elston, Public Arts Building",1,Type B
POINT (-87.660152 41.99582399999999),41.995824,-87.660152,6241 North Broadway,"Green Element Resale, 6241 N. Broadway",2,Type B
POINT (-87.628118 41.880154),41.880154,-87.628118,122 S. State,122 S. State,1,Type B
POINT (-87.62752499999999 41.900158),41.900158,-87.627525,932 North Rush Street,Lululemon athletica,1,Type B
POINT (-87.68055399999999 41.852352),41.852352,-87.680554,2151 S Leavitt,2151 S Leavitt,1,Type B
POINT (-87.68383299999999 41.961394),41.961394,-87.683833,Montrose & Lincoln,Montrose & Lincoln,3,Decorative
POINT (-87.633749 41.879104999999996),41.879105,-87.633749,South Wells Street,JW Marriott  Barrera,1,Type B
POINT (-87.63712800000002 41.87764899999999),41.877649,-87.637128,300 South Wacker Drive,300 S. Wacker,2,Type B
POINT (-87.690184 41.895523),41.895523,-87.690184,2521 West Chicago Avenue,Star lounge coffee bar,1,Type B
POINT (-87.673122 41.807423),41.807423,-87.673122,4747 S Winchester Ave,Hedges Elementary School-4747 S Winchester Ave,4,Type B
POINT (-87.62940799999998 41.872771),41.872771,-87.629408,720-736 South Dearborn Street,728 S Dearborn,2,Type B
POINT (-87.67122 41.691715),41.691715,-87.67122,1973 West 111th Street,1977 West 111th Street - Beverley Barber Shop,1,Type B
POINT (-87.69897098 41.91776999999999),41.91777,-87.69897098,2840 W. Armitage,Middlebrow's gastropub,2,Type B
POINT (-87.74880650999998 41.9387595),41.9387595,-87.74880651,",4849 W. Belmont","Brite Dental,4849 W. Belmont",1,Type B
POINT (-87.642081 41.883421999999996),41.883422,-87.642081,560 West Washington Street,560 W. Washington Blvd,2,Type B
POINT (-87.588049 41.79487500000001),41.794875,-87.588049,5500 South Lake Park Avenue,1521 E 55th St,1,Type B
POINT (-87.67766499999999 41.91121299999999),41.911213,-87.677665,1616 North Damen Avenue,1616 North Damen Avenue,1,Decorative
POINT (-87.80542984 41.98074378999999),41.98074379,-87.80542984,7111 W.	Higgins Avenue,Teaser's Public House,1,Type B
POINT (-87.724756 41.957851),41.957851,-87.724756,4215 North Elston Avenue,4215 North Elston Ave - DS Bicycles,1,Type B
POINT (-87.687727 41.808634999999995),41.808635,-87.687727,2514-2522 West 47th Street,Village Discount Outlet-2514 W. 47th Street,1,Type B
POINT (-87.614351 41.744112),41.744112,-87.614351,400 East 83rd Street,400 East 83rd Street - Red Snapper Fish Chicken,1,Type B
POINT (-87.67272121 41.9322378),41.9322378,-87.67272121,1735 W Diversey,Regal Loft Apartments,1,Type B
POINT (-87.64969299999998 41.94492699999999),41.944927,-87.649693,3452 North Halsted Street,3452 North Halsted Street - Elixir,1,Type B
POINT (-87.76904199999998 41.95289300000001),41.952893,-87.769042,5651-5653 West Irving Park Road,Chicago Muay Thai Kickboxing Club,2,Type B
POINT (-87.779135 41.94581149999999),41.9458115,-87.779135,"6100 W. Addison Street, Lubiana Bar","6100 W. Addison Street, Lubiana Bar",1,Type B
POINT (-87.626953 41.900751),41.900751,-87.626953,40 E Oak St.,40 E Oak St.,1,Type B
POINT (-87.53490595999999 41.69929264),41.69929264,-87.53490596,10759 S Ewing,Seven Eleven,1,Type B
POINT (-87.68770199999999 41.915636),41.915636,-87.687702,1858 North Western Avenue,1856 - 1858 North Western Avenue,2,Type B
POINT (-87.649725 41.943742),41.943742,-87.649725,3400-3402 North Halsted Street,3400 North Halsted Street - Beatnix,3,Type B
POINT (-87.67354199999998 41.939645999999996),41.939646,-87.673542,1770 W. Belmont,1770 W. Belmont,1,Type B
POINT (-87.665533 41.80859899999999),41.808599,-87.665533,1614 West 47th,1614 West 47th - Walgreens,1,Type B
POINT (-87.66052499999999 41.857625),41.857625,-87.660525,1343 West 18th Street,China Dragon Restaurant-1343 W 18th Street,1,Type B
POINT (-87.69582063 41.91690849),41.91690849,-87.69582063,1957 N Fairfield Ave,Residence,2,Type B
POINT (-87.694488 41.81736699999999),41.817367,-87.694488,4157 S. California,"4157 S. California, Del Ray Taco",2,Type B
POINT (-87.71039183000002 41.86276921999999),41.86276922,-87.71039183,Douglas/S. Homan Plaza,Douglas/S. Homan Plaza,2,Type B
POINT (-87.72725799999999 41.917480999999995),41.917481,-87.727258,4014 West Armitage Avenue,Thrifters Delight - 4112 W. Armitage,1,Type B
POINT (-87.74641398 41.925734039999995),41.92573404,-87.74641398,2448 N Cicero Ave,Jolee's Barber Shop,2,Type B
POINT (-87.67228049999999 41.89429998),41.89429998,-87.6722805,1800 W Huron,1800 W Huron,1,Type B
POINT (-87.70994599999999 41.741929),41.741929,-87.709946,8300 S. St. Louis,Ashburn Community Academy,1,Type B
POINT (-87.53517006999999 41.720634260000004),41.72063426,-87.53517007,9625 S Ewing,EL QUETZAL RESTAURANT,1,Type B
POINT (-87.53560092 41.708096520000005),41.70809652,-87.53560092,10300 S Ewing,EL TAPATIO SUPERMERCADO,1,Type B
POINT (-87.72345799999998 41.93204099999999),41.932041,-87.723458,3832 North Avers Avenue,Brew Brew Coffee Lounge,1,Type B
POINT (-87.70927724999999 41.86130661999999),41.86130662,-87.70927725,1440 S. Christiana Ave,KIPP Ascend Primary,2,Type B
POINT (-87.66604291 41.85609942),41.85609942,-87.66604291,1859 S. Ashland,US Post Office- Pilsen,1,Type B
POINT (-87.63646499999999 41.88410499999999),41.884105,-87.636465,123 North Wacker Drive,123 N Wacker Dr,2,Type B
POINT (-87.656909 41.85806999999999),41.85807,-87.656909,1208 West 18th Street,Prospectus Art Gallery-1210 W 18th Street,1,Type B
POINT (-87.77226092 41.93844062000001),41.93844062,-87.77226092,5819 W Belmont Ave,Jess Cafe,1,Type B
POINT (-87.64159100000002 41.87810499999999),41.878105,-87.641591,564 West Jackson Boulevard,564 W Jackson Blvd,2,Type B
POINT (-87.649621 41.945223),41.945223,-87.649621,3448-3458 North Halsted Street,3458 North Halsted - Hydrate,1,Type B
POINT (-87.70779988999999 41.91027915000001),41.91027915,-87.70779989,3230 W North Ave,Roesers Bakery,1,Type B
POINT (-87.68771699999999 41.95372499999999),41.953725,-87.687717,2335-2337 West Irving Park Road,2333 W Irving Park Rd,1,Type B
POINT (-87.669404 41.736093),41.736093,-87.669404,1834-1838 West 87th Street,1836 West 87th Street - Dream Child,1,Type B
POINT (-87.63675999999998 41.881912),41.881912,-87.63676,1 S Wacker Drive,1 S Wacker Drive,2,Type B
POINT (-87.74195227 41.92067811999999),41.92067812,-87.74195227,4600 Palmer,Bikes & Roses,1,Corral
POINT (-87.573159 41.744195),41.744195,-87.573159,2101-2109 East 83rd Street,2107 East 83rd Street - Royal Experience Hair Studio,1,Type B
POINT (-87.661866 41.88784199999999),41.887842,-87.661866,347 North Loomis Street,The Music Garage,2,Type B
POINT (-87.63130099999998 41.877855000000004),41.877855,-87.631301,111 West Jackson Boulevard,111 W Jackson,2,Type B
POINT (-87.78308597999998 41.93546189),41.93546189,-87.78308598,3030 N Mobile Ave,Steinmetz College Prep,1,Type B
POINT (-87.808226 41.996385000000004),41.996385,-87.808226,6325 North Avondale Avenue,Barbell Compound gym.,1,Type B
POINT (-87.60105699999998 41.653138),41.653138,-87.601057,901 East 133rd Place,Carver Elementary,5,Type B
POINT (-87.69449607999998 41.92093186000001),41.92093186,-87.69449608,2214 N Milwaukee,Jules Pet Shop,2,Type B
POINT (-87.60767 41.685722999999996),41.685723,-87.60767,600 East 115th Street,600 East 115th Street - McDonald's,1,Type B
POINT (-87.69281701 41.919981879999995),41.91998188,-87.69281701,2140 N Milwaukee Ave,Pilot Project Brewing,4,Type B
POINT (-87.68763899999999 41.93810299999999),41.938103,-87.687639,3111-3117 North Western Avenue,Constellation/Links Hall,2,Type B
POINT (-87.69462928999998 41.918058939999995),41.91805894,-87.69462929,2021 N.	Point St.,Chase Elementary,2,Type B
POINT (-87.674179 41.90247900000001),41.902479,-87.674179,1148 N. Honore,Lasalle II Elementary school,2,Type B
POINT (-87.76868134 41.93847253),41.93847253,-87.76868134,5657 W Belmont Ave,Gran Discover,1,Type B
POINT (-87.64905199999998 41.943208),41.943208,-87.649052,3343-3355 North Halsted Street,3349 North Halsted Street - Sidetrack,1,Type B
POINT (-87.6498 41.946235),41.946235,-87.6498,3524 North Halsted Street,3524 North Halsted Street - Camp Wiggles,1,Type B
POINT (-87.70292841 41.87367103999999),41.87367104,-87.70292841,3049 W. Harrison,Menta Academy,1,Type B
POINT (-87.75693511 41.91720187),41.91720187,-87.75693511,5222 W Grand Ave,Family Dollar,1,Type B
POINT (-87.62529999999998 41.855473999999994),41.855474,-87.6253,1935 S. Wabash Ave,1935 S. Wabash Ave,2,Type B
POINT (-87.71328555000001 41.983114009999994),41.98311401,-87.71328555,3346 W Bryn Mawr,Bryn Mawr Breakfast Club,1,Type B
POINT (-87.65876899999999 41.74327099999999),41.743271,-87.658769,8256-8258 South Loomis Boulevard,1404 West 83rd Street,1,Type B
POINT (-87.71310499999998 41.968672),41.968672,-87.713105,3338-3360 West Lawrence Avenue,3358 West Lawrence Avenue - T Mobile,1,Type B
POINT (-87.68333199999998 41.95016),41.95016,-87.683332,3747-3753 North Leavitt Street,"2157 W. Grace Street., Grace & Leavitt Tavern",2,Type B
POINT (-87.73599342999998 41.92720506),41.92720506,-87.73599343,4343 W. Wrightwood Ave,"Kelvyn Park High School, 4343 W. Wrightwood Ave",10,Type B
POINT (-87.649503 41.947821999999995),41.947822,-87.649503,3625 North Halsted,3625 North Halsted - Phoenix Electric Manufacturing,1,Type B
POINT (-87.552357 41.731655999999994),41.731656,-87.552357,9007 South Exchange Avenue,Mireles Academy Elementary,2,Type B
POINT (-87.65457 41.955318000000005),41.955318,-87.65457,4025 N. Sheridan Rd,4025 N. Sheridan Rd,1,Type B
POINT (-87.650534 41.952082000000004),41.952082,-87.650534,837 W Sheridan Rd,837 W Sheridan Rd,1,Type B
POINT (-87.627232 41.878483),41.878483,-87.627232,14 East Jackson Boulevard,10 E Jackson,2,Type B
POINT (-87.689713 41.99757899999999),41.997579,-87.689713,2351 W. Devon,Devon Oasis,1,Type B
POINT (-87.587556 41.79152499999999),41.791525,-87.587556,1451 E. 57th Street,1451 E. 57th Street,2,Type B
POINT (-87.621523 41.889801),41.889801,-87.621523,439 N City front Plaza Dr,439 North City Front Plaza,1,Type B
POINT (-87.65548399999999 41.890888),41.890888,-87.655484,1119-1123 West Grand Avenue,1119 W Grand Ave - MANE Salon,1,Type B
POINT (-87.67188499999999 41.886049),41.886049,-87.671885,2137 W. Walnut,Midwest Coast Brewing Company,1,Corral
POINT (-87.64914899999998 41.928963),41.928963,-87.649149,2558 North Halsted Street,Las Fuentes,1,Type B
POINT (-87.67280746 41.95415302999999),41.95415303,-87.67280746,1733 W.  Irving Park,1733 W.  Irving Park,1,Type B
POINT (-87.614792 41.831252),41.831252,-87.614792,454 E. 35th,"Strip Mall/ Bus Stop, 454 E. 35th",2,Type B
POINT (-87.72525157 41.8730082),41.8730082,-87.72525157,617 S. Pulaski,DuWells,1,Type B
POINT (-87.62935699999998 41.88693599999999),41.886936,-87.629357,West Upper Wacker Drive,E. Riverwalk Entrance 1,2,Type B
POINT (-87.649022 41.948302),41.948302,-87.649022,3627-3635 North Halsted Street,3631 North Halsted Street - Dakota Building,1,Type B
POINT (-87.76258317 41.93858663999999),41.93858664,-87.76258317,5419 W. Belmont,"Dental Clinic, 5419 W. Belmont",1,Type B
POINT (-87.70237400000002 41.931948999999996),41.931949,-87.702374,2957 North Sacramento Avenue,2759 N Sacramento Ave,1,Type B
POINT (-87.63914099999998 41.884448),41.884448,-87.639141,150 North Riverside,150 North Riverside,2,Type B
POINT (-87.74823827999998 41.92445453999999),41.92445454,-87.74823828,4846 W Fullerton,Iglesia Cristiana Verbo,1,Decorative
POINT (-87.788134 41.79595799999999),41.795958,-87.788134,5300 S Natoma Ave,"St Daniel the Prophet Church, 5300 S Natoma Ave",4,Type B
POINT (-87.70162599999999 41.925859),41.925859,-87.701626,2437-2457 North Milwaukee Avenue,"Paulie Gee's, 2451 N. Milwaukee Ave",2,Type B
POINT (-87.676756 41.830947),41.830947,-87.676756,3455 S Archer Ave,"Treasures Depot, 3455 S Archer Ave",1,Type B
POINT (-87.66775309 41.879810240000005),41.87981024,-87.66775309,1645 W. Ogden,Precession Human Performance,2,Type B
POINT (-87.630334 41.901191000000004),41.901191,-87.630334,1016 North Dearborn Street,The Ruth Page Foundation,1,Type B
POINT (-87.70556052 41.86075992),41.86075992,-87.70556052,1511 S. Kedzie,Holy Sanctuary Community Church,1,Type B
POINT (-87.75823999999999 41.96497899999999),41.964979,-87.75824,4639 N. Milwaukee,"4639 N. Milwaukee, Chris's Billiards",1,Type B
POINT (-87.75662899999999 41.97794300000001),41.977943,-87.756629,5328-5330 North Leamington Avenue,Forest Glen Animal Hospital,1,Type B
POINT (-87.65129328999998 41.92707),41.92707,-87.65129329,2482 N Lincoln Ave,Printer's Row Coffee Co,1,Type B
POINT (-87.7260378 41.87337964),41.87337964,-87.7260378,4013 W. Harrison,Church,1,Type B
POINT (-87.63118299999998 41.893926),41.893926,-87.631183,648 N. Clark,Studio Three,3,Type B
POINT (-87.624072 41.864566),41.864566,-87.624072,1345 S. Michigan,Teja's Yoga /Max Synergy,2,Type B
POINT (-87.63452599999998 41.895757999999994),41.895758,-87.634526,200 West Superior Street,200 West Superior Street,2,Type B
POINT (-87.678203 41.903339),41.903339,-87.678203,2020-2022 West Division Street,2022 West Division Street,1,Type B
POINT (-87.688327 41.92948899999999),41.929489,-87.688327,2600-2648 North Western Avenue,Regal Cinema City North 14,2,Type B
POINT (-87.67749699999999 41.83078099999999),41.830781,-87.677497,3480 South Archer Avenue,"3480 W. Archer, New ArcView Restaurant",1,Type B
POINT (-87.53555383 41.71560442),41.71560442,-87.53555383,9904 S Ewing,WILLING WORKERS CHURCH,1,Type B
POINT (-87.71809199999998 41.93528099999999),41.935281,-87.718092,2978 North Milwaukee Avenue,"2976-78 N Milwaukee, Grocery Store",1,Type B
POINT (-87.64099101000001 41.932563009999996),41.93256301,-87.64099101,2755 N Pine Grove,2755 N Pine Grove,1,Type B
POINT (-87.586756 41.77272599999999),41.772726,-87.586756,6714 South Stony Island Avenue,Stony Island Arts Bank,2,Type B
POINT (-87.667969 41.978744),41.978744,-87.667969,5321 North Clark Street,Clark & Summerdale,1,Type B
POINT (-87.633079 41.895848),41.895848,-87.633079,150 West Superior Street,150 W. Superior,2,Type B
POINT (-87.668075 41.98047499999999),41.980475,-87.668075,5417-5419 North Clark Street,5419 North Clark Street,1,Type B
POINT (-87.704726 41.931805000000004),41.931805,-87.704726,3057 West Diversey Avenue,jasonhammel@lulacafe.com,2,Type B
POINT (-87.66743999999998 42.008227999999995),42.008228,-87.66744,1440 West Morse Avenue,1432 W Morse,1,Type B
POINT (-87.732289 41.990378),41.990378,-87.732289,4124 West Peterson Avenue,"4124 West Peterson, CorePower Yoga Sauganash",2,Type B
POINT (-87.629745 41.887130000000006),41.88713,-87.629745,Chicago Riverwalk,Riverwalk Entrance,2,Type B
POINT (-87.69483099999998 41.822914000000004),41.822914,-87.694831,3858 South California Avenue,3858 S. California Ave.,1,Type B
POINT (-87.64689599999998 41.73582),41.73582,-87.646896,907 West 87th Street,917 West 87th Street - Harold's Chicken,1,Type B
POINT (-87.661491 41.856178),41.856178,-87.661491,1856 South Loomis Street,1856 S. Loomis St.,2,Type B
POINT (-87.662784 41.900077),41.900077,-87.662784,1010 North Noble Street,Noble Street College Prep,1,Type B
POINT (-87.65943 41.943246),41.943246,-87.65943,1207 West Roscoe Street,Top Cleaners,1,Type B
POINT (-87.651701 41.73556),41.73556,-87.651701,1113-1117 West 87th Street,1117 West 87th Street - St. Killian Church,1,Type B
POINT (-87.64254799999999 41.925552),41.925552,-87.642548,530 W Fullerton Parkway,530 W Fullerton Parkway,2,Type B
POINT (-87.69730811999999 41.92200409),41.92200409,-87.69730812,2209 N California,California Food Mart,1,Type B
POINT (-87.67955999999998 41.898188),41.898188,-87.67956,915 N. Hoyne Ave,915 N. Hoyne Ave,1,Type B
POINT (-87.678855 41.966240000000006),41.96624,-87.678855,4635-4639 North Damen Avenue,Damen Brown Line Station 4646 N Damen Ave,3,Type B
POINT (-87.681287 41.707413),41.707413,-87.681287,10225-10227 South Western Avenue,Blazin' Cycle,1,Type B
POINT (-87.67035399999999 41.910807),41.910807,-87.670354,1706 W North Ave,1706 W North Ave,1,Type B
POINT (-87.61698099999998 41.758568999999994),41.758569,-87.616981,330-334 East 75th Street,Brown Sugar Bakery,1,Type B
POINT (-87.67462299999998 41.908387),41.908387,-87.674623,1462 North Milwaukee Avenue,1462 N. Milwaukee Ave,1,Type B
POINT (-87.64113699999999 41.868441),41.868441,-87.641137,540 West Grenshaw Street,Chipotle @ Clinton and Dekoven,1,Type B
POINT (-87.62629399999999 41.886454),41.886454,-87.626294,35 E. Wacker,"Active Transportation Alliance, 35 E. Wacker",2,Type B
POINT (-87.68443899999998 41.845216999999984),41.845217,-87.684439,2555 S Blue Island Ave,2555 S Blue Island Ave,1,Type B
POINT (-87.66455900000001 41.85801299999999),41.858013,-87.664559,1518 West 18th Street,1518 w 18th St.,1,Type B
POINT (-87.62735299999999 41.87069399999999),41.870694,-87.627353,833 S. State St,"Fit Results, 833 S. State St",2,Type B
POINT (-87.67307699999999 42.01707199999999),42.017072,-87.673077,7305 North Rogers Avenue,7305 North Rogers Avenue,1,Type B
POINT (-87.66002 41.857907),41.857907,-87.66002,1327 W.18th,"Lakshmi Hair Salon & Spa, 1327 W.18th",1,Type B
POINT (-87.65358299999998 41.93475600000001),41.934756,-87.653583,2909 North Sheffield Avenue,Barcocina,2,Type B
POINT (-87.77116635999998 41.9459159),41.9459159,-87.77116636,5752 W. Addison,"Prime Barber Lounge, 5752 W. Addison",1,Type B
POINT (-87.687688 41.968762000000005),41.968762,-87.687688,4801 N Claremont Ave,4801 N Claremont Ave,2,Decorative
POINT (-87.70474499999999 41.844068),41.844068,-87.704745,2609 South Kedzie Avenue,McDonald's-2609 S. Kedzie,1,Type B
POINT (-87.62355799999999 41.888072),41.888072,-87.623558,"Pedway, 111 E Wacker Drive",111 E Wacker Drive,6,Type B
POINT (-87.688032 41.921065999999996),41.921066,-87.688032,2140 North Western Avenue,2134 North Western Avenue - Fresh Market Place,1,Type B
POINT (-87.675729 41.854279999999996),41.85428,-87.675729,2015 South Damen Avenue,Pilsen Outpost-1958 W 21st Street,1,Type B
POINT (-87.64843299999998 41.88589199999999),41.885892,-87.648433,820 West Lake Street,"820 W. Lake, Momotaro",2,Type B
POINT (-87.653142 41.91152999999999),41.91153,-87.653142,1623 N. Sheffield Ave,"1623 N. Sheffield Ave, World Market",1,Type B
POINT (-87.65941301 41.93283399999999),41.932834,-87.65941301,2800 - 2812 N Lincoln Ave,2800 - 2812 N Lincoln Ave,1,Type B
POINT (-87.66978399999999 41.961867000000005),41.961867,-87.669784,4400-4412 North Ashland Avenue,1608 W. Montrose Ave,1,Type B
POINT (-87.7752142 41.92055337),41.92055337,-87.7752142,5952 W Grand Ave,A&R Food,1,Type B
POINT (-87.64549599999998 41.922853999999994),41.922854,-87.645496,2246-2252 North Lincoln Avenue,Children's Empirical LLC,1,Type B
POINT (-87.633003 41.88999),41.88999,-87.633003,154 W Hubbard Street,154 W Hubbard Street,1,Type B
POINT (-87.76080710999999 41.92387581),41.92387581,-87.76080711,5359 W Fullerton Ave,Salud Family Health,1,Decorative
POINT (-87.64972099999999 41.945904999999996),41.945905,-87.649721,3512 North Halsted Street,3512 North Halsted Street,1,Type B
POINT (-87.65014243 41.96192786999999),41.96192787,-87.65014243,804 West Montrose,"804 West Montrose, Peter Rubi Market",2,Type B
POINT (-87.71498528999999 41.96827090999999),41.96827091,-87.71498529,3441 W. Lawrence Ave,Dulce De Leche Café,1,Type B
